,sex,age,marital,is_parent,education_level,emplnw,disabled,party,ideology,race,income,hh1,number_in_hh,reg_voter,email_use,mobile_phone,home_int,broadband,smartphone,library_onsite,library_website,visit_freq,educ2_ordinal,inc_ordinal,libusea_ordinal,has_visited
362,Male,25,Cohabitating,No,Grad School,Part Time,No,Independent,Liberal,Black,$20K-$30K,2,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, > 12 Mo.",Less Often,8,3,2,Yes
363,Male,25,Never Married,No,Bach Degree,Full Time,No,No Preference,Consrv,Refused,$150K+,3,Small City or Town,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Monthly,6,9,2,Yes
364,Female,74,Married,No,Grad School,Retired,No,Democrat,Liberal,White,$150K+,2,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Unknown,"Yes, < 12 Mo.",Never,Less Often,8,9,2,Yes
365,Female,73,Married,No,Bach Degree,Retired,Yes,No Preference,Very Consrv,Black,$100K-$150K,2,Small City or Town,Probably,Yes,No,Yes,Higher Speed,No,"Yes, > 12 Mo.",Never,Unknown,6,8,1,Yes
366,Male,52,Never Married,No,Grad School,Full Time,No,Independent,Moderate,Asian,$50K-$75K,1,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,Never,Never,Unknown,8,6,0,No
367,Male,58,Married,No,Assoc Degree,Retired,No,Democrat,Liberal,Black,Refused,3,Small City or Town,Definitely,Yes,No,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Semi-Monthly,5,0,2,Yes
368,Male,22,Never Married,No,Bach Degree,Unemployed,No,No Preference,Moderate,Native American,$20K-$30K,4,Suburb,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Monthly,6,3,2,Yes
369,Male,33,Married,Yes,Bach Degree,Full Time,No,Democrat,Moderate,White,$75K-$100K,2,Rural,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,6,7,1,Yes
370,Female,63,Married,No,Bach Degree,Retired,No,Independent,Moderate,White,Refused,2,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,6,0,1,Yes
371,Female,33,Married,Yes,Grad School,Full Time,No,Democrat,Very Liberal,White,$100K-$150K,2,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Monthly,8,8,2,Yes
372,Female,33,Separated,Yes,Bach Degree,Full Time,No,Independent,Very Consrv,White,$40K-$50K,2,Small City or Town,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Monthly,6,5,2,Yes
373,Female,79,Widowed,No,No HS,Retired,Yes,Democrat,Liberal,Black,$10K-$20K,1,Rural,Definitely,No,No,Unknown,Unknown,Yes,"Yes, > 12 Mo.","Yes, > 12 Mo.",Unknown,1,2,1,Yes
374,Male,72,Married,No,Grad School,Retired,No,Independent,Consrv,White,$150K+,2,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Less Often,8,9,2,Yes
375,Female,99,Married,No,HS Grad,Retired,No,Refused,Consrv,White,Refused,2,Rural,Definitely,Yes,No,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, > 12 Mo.",Less Often,3,0,2,Yes
376,Male,67,Widowed,No,Bach Degree,Retired,No,Independent,Moderate,White,$50K-$75K,2,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,6,6,1,Yes
377,Female,62,Cohabitating,No,Some College,Full Time,No,Democrat,Liberal,White,$75K-$100K,2,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.","Yes, > 12 Mo.",Unknown,4,7,1,Yes
378,Male,35,Married,Yes,Grad School,Full Time,No,Independent,Liberal,White,$150K+,2,Suburb,Definitely,Yes,Yes,Yes,Dial-Up,Yes,"Yes, > 12 Mo.",Never,Unknown,8,9,1,Yes
379,Male,40,Married,Yes,Assoc Degree,Full Time,No,No Preference,Unknown,Refused,$75K-$100K,2,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,5,7,1,Yes
380,Female,70,Widowed,No,HS Grad,Retired,No,Independent,Moderate,White,$30K-$40K,1,Small City or Town,Definitely,No,No,Unknown,Unknown,Unknown,"Yes, < 12 Mo.",Never,Monthly,3,4,2,Yes
381,Female,40,Married,Yes,Bach Degree,Full Time,No,Democrat,Moderate,Black,$40K-$50K,2,Small City or Town,Definitely,Yes,Yes,No,Unknown,Yes,"Yes, < 12 Mo.",Never,Semi-Monthly,6,5,2,Yes
382,Male,45,Divorced,No,Some College,Part Time,No,Independent,Consrv,White,$20K-$30K,1,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,4,3,1,Yes
383,Female,28,Married,Yes,HS Grad,Full Time,No,Democrat,Consrv,White,$40K-$50K,2,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Monthly,3,5,2,Yes
384,Female,50,Married,Yes,Assoc Degree,Retired,No,Republican,Moderate,White,$150K+,2,Rural,Definitely,Yes,Yes,Yes,Dial-Up,Yes,"Yes, > 12 Mo.",Never,Unknown,5,9,1,Yes
385,Male,64,Married,No,Some Grad School,Retired,No,Republican,Consrv,White,Refused,2,Small City or Town,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Less Often,7,0,2,Yes
386,Female,58,Never Married,No,Some College,Retired,Yes,Independent,Consrv,Native American,$20K-$30K,1,Rural,Definitely,No,No,Unknown,Unknown,Unknown,"Yes, < 12 Mo.",Never,Monthly,4,3,2,Yes
387,Female,56,Married,No,Grad School,Unemployed,No,Democrat,Liberal,White,$150K+,3,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Less Often,8,9,2,Yes
388,Female,52,Married,No,HS Grad,Full Time,No,Independent,Liberal,White,$100K-$150K,2,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,3,8,1,Yes
389,Male,71,Widowed,No,Some HS,Retired,No,Independent,Very Liberal,Black,<$10K,1,Small City or Town,Probably,No,No,Unknown,Unknown,No,Never,Never,Unknown,2,1,0,No
390,Female,68,Married,No,Grad School,Retired,No,Democrat,Moderate,Black,$75K-$100K,2,Small City or Town,Definitely,No,No,Unknown,Unknown,Unknown,"Yes, < 12 Mo.",Never,Monthly,8,7,2,Yes
391,Male,51,Married,Yes,Assoc Degree,Full Time,No,Independent,Moderate,White,Refused,2,Small City or Town,Definitely,No,No,Unknown,Unknown,No,"Yes, < 12 Mo.","Yes, < 12 Mo.",Weekly,5,0,2,Yes
392,Female,76,Widowed,No,HS Grad,Retired,Yes,Independent,Very Consrv,White,$75K-$100K,1,Small City or Town,Definitely,Yes,No,No,Unknown,No,"Yes, < 12 Mo.",Never,Less Often,3,7,2,Yes
393,Female,44,Never Married,No,Bach Degree,Part Time,Yes,Independent,Moderate,White,Unknown,2,Rural,Definitely,Yes,No,No,Unknown,No,"Yes, > 12 Mo.",Never,Unknown,6,0,1,Yes
394,Male,21,Never Married,No,HS Grad,Unemployed,No,Independent,Consrv,White,<$10K,3,Small City or Town,Probably,Yes,No,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,3,1,1,Yes
395,Male,60,Married,Yes,Grad School,Full Time,No,Independent,Consrv,White,$100K-$150K,2,Suburb,Definitely,Yes,No,Yes,Higher Speed,No,"Yes, < 12 Mo.",Never,Weekly,8,8,2,Yes
396,Female,54,Married,Yes,Bach Degree,Full Time,No,Independent,Moderate,White,$150K+,2,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Monthly,6,9,2,Yes
397,Male,19,Never Married,No,HS Grad,Part Time,No,Democrat,Liberal,White,$100K-$150K,5,Rural,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.","Yes, < 12 Mo.",Unknown,3,8,1,Yes
398,Female,69,Married,No,HS Grad,Retired,No,Democrat,Moderate,White,$50K-$75K,2,Small City or Town,Definitely,No,No,Unknown,Unknown,No,Never,Never,Unknown,3,6,0,No
399,Female,60,Widowed,No,HS Grad,Unemployed,No,Independent,Liberal,Black,$20K-$30K,3,Suburb,Definitely,Yes,No,Yes,Higher Speed,No,"Yes, < 12 Mo.","Yes, < 12 Mo.",Weekly,3,3,2,Yes
400,Female,62,Divorced,No,Some College,Full Time,No,Independent,Unknown,White,$20K-$30K,1,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Less Often,4,3,2,Yes
401,Male,39,Divorced,No,Grad School,Full Time,No,Independent,Moderate,White,$100K-$150K,1,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Yes,Never,Never,Unknown,8,8,0,No
402,Male,28,Never Married,No,Bach Degree,Full Time,No,Independent,Liberal,White,$150K+,2,Large City,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Less Often,6,9,2,Yes
403,Male,62,Married,No,Bach Degree,Self Employed,No,Refused,Liberal,White,Refused,3,Large City,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Less Often,6,0,2,Yes
404,Female,66,Cohabitating,No,Bach Degree,Part Time,No,Democrat,Very Liberal,White,$30K-$40K,1,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Semi-Monthly,6,4,2,Yes
405,Female,40,Married,Yes,Grad School,Retired,No,Democrat,Liberal,Asian,$150K+,2,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Semi-Monthly,8,9,2,Yes
406,Female,23,Never Married,No,Assoc Degree,Part Time,No,Democrat,Very Liberal,Black,$10K-$20K,2,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Yes,Never,"Yes, < 12 Mo.",Unknown,5,2,0,No
407,Female,73,Married,No,Bach Degree,Retired,No,Democrat,Very Liberal,White,Refused,2,Large City,Definitely,Yes,Yes,Yes,Higher Speed,No,"Yes, < 12 Mo.",Never,Semi-Monthly,6,0,2,Yes
408,Female,33,Married,Yes,Grad School,Part Time,No,Democrat,Very Liberal,Black,$75K-$100K,5,Large City,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Semi-Monthly,8,7,2,Yes
409,Female,59,Widowed,No,Bach Degree,Retired,Yes,Democrat,Liberal,White,$10K-$20K,1,Large City,Definitely,No,No,Unknown,Unknown,No,"Yes, < 12 Mo.",Never,Semi-Monthly,6,2,2,Yes
410,Male,47,Never Married,No,Some HS,Unemployed,No,Democrat,Moderate,Black,Unknown,1,Small City or Town,Probably,Yes,Yes,No,Unknown,Unknown,Never,Never,Unknown,2,0,0,No
411,Female,62,Divorced,No,Assoc Degree,Part Time,No,Democrat,Consrv,Black,$10K-$20K,3,Large City,Definitely,Yes,Yes,Yes,Higher Speed,No,"Yes, > 12 Mo.","Yes, > 12 Mo.",Unknown,5,2,1,Yes
412,Female,36,Separated,No,Some College,Unemployed,No,Independent,Moderate,Black,$10K-$20K,2,Small City or Town,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Monthly,4,2,2,Yes
413,Female,30,Married,Yes,Bach Degree,Unemployed,Yes,Democrat,Moderate,Refused,$40K-$50K,2,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Weekly,6,5,2,Yes
414,Female,77,Married,No,HS Grad,Retired,No,Independent,Consrv,White,Refused,2,Large City,Definitely,Yes,Yes,Yes,Unknown,No,"Yes, < 12 Mo.",Never,Monthly,3,0,2,Yes
415,Female,91,Widowed,No,Bach Degree,Unemployed,No,Refused,Refused,White,Refused,1,Rural,Definitely,No,No,Unknown,Unknown,Unknown,Never,Never,Unknown,6,0,0,No
416,Female,81,Widowed,No,No HS,Retired,Yes,Republican,Unknown,White,$10K-$20K,1,Suburb,Definitely,No,No,Unknown,Unknown,Unknown,"Yes, > 12 Mo.",Never,Unknown,1,2,1,Yes
417,Female,53,Married,No,Grad School,Retired,Yes,No Preference,Very Liberal,Asian,$100K-$150K,3,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Weekly,8,8,2,Yes
418,Male,65,Married,No,Grad School,Retired,No,Democrat,Moderate,White,Refused,2,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Monthly,8,0,2,Yes
419,Female,55,Married,Yes,Grad School,Full Time,No,Democrat,Liberal,White,$150K+,2,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,Never,Never,Unknown,8,9,0,No
420,Male,61,Cohabitating,No,Bach Degree,Full Time,No,Republican,Consrv,White,$100K-$150K,3,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Monthly,6,8,2,Yes
421,Male,69,Widowed,No,Bach Degree,Retired,No,Independent,Moderate,White,$75K-$100K,3,Suburb,Definitely,Yes,No,Yes,Higher Speed,No,"Yes, < 12 Mo.",Never,Monthly,6,7,2,Yes
422,Female,50,Married,No,Assoc Degree,Unemployed,Yes,Democrat,Moderate,Refused,$40K-$50K,3,Rural,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Weekly,5,5,2,Yes
423,Male,27,Married,Yes,Assoc Degree,Full Time,No,Independent,Very Liberal,White,$10K-$20K,6,Large City,Definitely,No,Yes,No,Unknown,Yes,"Yes, > 12 Mo.","Yes, > 12 Mo.",Unknown,5,2,1,Yes
424,Male,29,Divorced,No,Grad School,Full Time,No,Independent,Moderate,White,$75K-$100K,2,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,8,7,1,Yes
425,Male,28,Never Married,No,Grad School,Unemployed,No,Independent,Moderate,Asian,$100K-$150K,3,Large City,Probably,No,No,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Less Often,8,8,2,Yes
426,Male,28,Divorced,No,Unknown,Full Time,No,Democrat,Liberal,White,$10K-$20K,1,Large City,Definitely,Yes,No,No,Unknown,No,Never,Never,Unknown,0,2,0,No
427,Female,17,Never Married,No,Some HS,Unemployed,No,Democrat,Consrv,Black,<$10K,2,Large City,Probably,Yes,Yes,Yes,Both,Yes,"Yes, < 12 Mo.","Yes, > 12 Mo.",Semi-Monthly,2,1,2,Yes
428,Male,60,Married,No,HS Grad,Full Time,Yes,Democrat,Moderate,White,$75K-$100K,3,Large City,Definitely,Yes,No,Yes,Higher Speed,No,"Yes, < 12 Mo.","Yes, < 12 Mo.",Less Often,3,7,2,Yes
429,Female,99,Never Married,No,Refused,Refused,No,Independent,Refused,Black,Refused,9,Large City,Refused,Yes,Yes,Yes,Refused,Refused,Never,Never,Unknown,0,0,0,No
430,Female,47,Never Married,Yes,Assoc Degree,Full Time,No,Democrat,Liberal,Black,Refused,1,Large City,Probably,Yes,Yes,Yes,Higher Speed,Yes,Never,"Yes, < 12 Mo.",Unknown,5,0,0,No
431,Female,56,Never Married,No,HS Grad,Full Time,No,Democrat,Moderate,Black,$40K-$50K,2,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,3,5,1,Yes
432,Male,56,Separated,Yes,HS Grad,Full Time,No,Democrat,Consrv,Black,$10K-$20K,1,Small City or Town,Probably,No,Yes,No,Unknown,Unknown,Never,Never,Unknown,3,2,0,No
433,Male,88,Married,No,Bach Degree,Retired,No,Democrat,Moderate,White,$75K-$100K,2,Large City,Definitely,No,No,Unknown,Unknown,Unknown,"Yes, < 12 Mo.","Yes, < 12 Mo.",Semi-Monthly,6,7,2,Yes
434,Male,25,Never Married,No,Grad School,Full Time,No,Democrat,Liberal,White,$50K-$75K,4,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, > 12 Mo.",Less Often,8,6,2,Yes
435,Male,16,Never Married,No,Bach Degree,Part Time,No,Independent,Moderate,Asian,$75K-$100K,4,Small City or Town,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Less Often,6,7,2,Yes
436,Male,68,Married,No,HS Grad,Retired,No,Democrat,Moderate,White,$50K-$75K,2,Large City,Definitely,Yes,No,Yes,Dial-Up,No,"Yes, < 12 Mo.",Never,Monthly,3,6,2,Yes
437,Female,59,Married,No,Bach Degree,Full Time,No,Democrat,Liberal,White,$150K+,2,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,6,9,1,Yes
438,Male,81,Married,No,Assoc Degree,Retired,No,Democrat,Liberal,Black,$10K-$20K,2,Suburb,Definitely,No,Yes,No,Unknown,Unknown,"Yes, < 12 Mo.",Never,Less Often,5,2,2,Yes
439,Female,51,Married,No,Bach Degree,Full Time,No,Republican,Moderate,White,$150K+,4,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,6,9,1,Yes
440,Male,35,Married,Yes,Refused,Full Time,No,Democrat,Moderate,Asian,$10K-$20K,2,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,Never,Never,Unknown,0,2,0,No
441,Female,69,Married,No,Grad School,Part Time,No,Republican,Consrv,White,$75K-$100K,2,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Semi-Monthly,8,7,2,Yes
442,Female,61,Widowed,No,Assoc Degree,Unemployed,Yes,Republican,Moderate,White,$10K-$20K,1,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Monthly,5,2,2,Yes
443,Female,57,Divorced,No,HS Grad,Full Time,No,Independent,Moderate,White,$20K-$30K,1,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Less Often,3,3,2,Yes
444,Female,56,Married,No,Grad School,Full Time,No,Republican,Moderate,White,$50K-$75K,4,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Unknown,"Yes, < 12 Mo.",Never,Monthly,8,6,2,Yes
445,Female,44,Married,Yes,Bach Degree,Unemployed,No,Democrat,Liberal,White,$150K+,2,Suburb,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Weekly,6,9,2,Yes
446,Female,72,Cohabitating,No,Grad School,Self Employed,No,Independent,Moderate,White,$150K+,2,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Weekly,8,9,2,Yes
447,Female,63,Married,No,Grad School,Retired,No,Democrat,Liberal,White,$100K-$150K,1,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Monthly,8,8,2,Yes
448,Male,79,Widowed,No,HS Grad,Retired,No,No Preference,Refused,White,$10K-$20K,1,Small City or Town,Probably,No,No,Unknown,Unknown,No,"Yes, > 12 Mo.",Never,Unknown,3,2,1,Yes
449,Female,26,Never Married,No,Bach Degree,Full Time,No,Democrat,Liberal,Other,$100K-$150K,3,Rural,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,6,8,1,Yes
450,Male,49,Married,Yes,Assoc Degree,Full Time,No,Republican,Consrv,White,$75K-$100K,2,Rural,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,5,7,1,Yes
451,Male,17,Never Married,No,Some HS,Unemployed,No,Independent,Liberal,Asian,Unknown,4,Suburb,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Less Often,2,0,2,Yes
452,Female,66,Never Married,No,Grad School,Retired,Yes,Democrat,Liberal,Black,$30K-$40K,2,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,No,"Yes, < 12 Mo.",Never,Monthly,8,4,2,Yes
453,Female,65,Never Married,No,Grad School,Part Time,Yes,Democrat,Liberal,White,$50K-$75K,1,Small City or Town,Definitely,Yes,Yes,Yes,Both,Yes,"Yes, < 12 Mo.",Never,Semi-Monthly,8,6,2,Yes
454,Male,99,Married,No,Assoc Degree,Retired,No,No Preference,Refused,White,Refused,2,Small City or Town,Definitely,Yes,Yes,No,Unknown,Unknown,"Yes, < 12 Mo.",Never,Weekly,5,0,2,Yes
455,Male,42,Married,No,Bach Degree,Full Time,No,Republican,Moderate,White,$150K+,2,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,Never,Never,Unknown,6,9,0,No
456,Female,48,Widowed,No,Some College,Unemployed,Yes,Independent,Moderate,White,$10K-$20K,3,Rural,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Semi-Monthly,4,2,2,Yes
457,Female,57,Married,No,Bach Degree,Retired,No,Democrat,Liberal,White,$75K-$100K,2,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Semi-Monthly,6,7,2,Yes
458,Female,51,Divorced,No,HS Grad,Full Time,No,Independent,Liberal,White,$20K-$30K,1,Rural,Definitely,Yes,Yes,Yes,Higher Speed,No,"Yes, > 12 Mo.",Never,Unknown,3,3,1,Yes
459,Male,78,Married,No,Some Grad School,Retired,No,Republican,Moderate,White,$50K-$75K,3,Small City or Town,Definitely,Yes,No,Yes,Higher Speed,No,"Yes, > 12 Mo.",Never,Unknown,7,6,1,Yes
460,Female,77,Divorced,No,Some College,Retired,Yes,Democrat,Very Liberal,White,$10K-$20K,1,Rural,Definitely,Yes,Yes,Yes,Higher Speed,No,"Yes, < 12 Mo.",Never,Less Often,4,2,2,Yes
461,Male,60,Married,No,HS Grad,Full Time,No,Democrat,Unknown,White,Unknown,2,Rural,Definitely,Yes,No,Yes,Unknown,No,"Yes, > 12 Mo.",Never,Unknown,3,0,1,Yes
462,Male,45,Separated,Yes,Grad School,Full Time,No,Democrat,Liberal,White,$150K+,1,Rural,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Semi-Monthly,8,9,2,Yes
463,Female,82,Widowed,No,Bach Degree,Other,No,Independent,Moderate,White,$10K-$20K,1,Rural,Definitely,Yes,No,Yes,Higher Speed,Unknown,"Yes, < 12 Mo.",Never,Weekly,6,2,2,Yes
464,Male,17,Never Married,No,Some HS,Unemployed,No,Republican,Very Liberal,Asian,$150K+,2,Rural,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Weekly,2,9,2,Yes
465,Female,52,Never Married,Yes,Bach Degree,Full Time,No,Democrat,Liberal,White,$40K-$50K,1,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Less Often,6,5,2,Yes
466,Female,55,Married,No,HS Grad,Self Employed,No,Refused,Refused,White,$50K-$75K,3,Rural,Refused,Yes,No,Yes,Dial-Up,No,"Yes, > 12 Mo.",Never,Unknown,3,6,1,Yes
467,Male,34,Married,Yes,Bach Degree,Full Time,No,Republican,Consrv,White,$100K-$150K,2,Rural,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Less Often,6,8,2,Yes
468,Female,45,Married,Yes,Bach Degree,Part Time,No,Republican,Consrv,White,$150K+,2,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Less Often,6,9,2,Yes
469,Male,75,Married,No,Some HS,Retired,No,Republican,Consrv,White,$40K-$50K,2,Rural,Definitely,No,No,Unknown,Unknown,No,Never,Never,Unknown,2,5,0,No
470,Male,88,Married,No,HS Grad,Retired,No,Independent,Consrv,White,Refused,1,Small City or Town,Definitely,No,No,Unknown,Unknown,Unknown,"Yes, > 12 Mo.",Never,Unknown,3,0,1,Yes
471,Female,63,Married,No,Grad School,Retired,No,Independent,Moderate,White,$50K-$75K,1,Small City or Town,Definitely,No,No,Unknown,Unknown,No,"Yes, < 12 Mo.",Never,Less Often,8,6,2,Yes
472,Male,19,Never Married,No,HS Grad,Unemployed,No,Independent,Moderate,White,$30K-$40K,2,Small City or Town,Probably,Yes,Yes,Yes,Higher Speed,Yes,Never,"Yes, > 12 Mo.",Unknown,3,4,0,No
473,Female,29,Never Married,No,HS Grad,Full Time,No,Republican,Moderate,White,$10K-$20K,2,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, > 12 Mo.",Less Often,3,2,2,Yes
474,Male,50,Divorced,Yes,Assoc Degree,Full Time,No,Republican,Consrv,White,Refused,1,Rural,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.","Yes, < 12 Mo.",Unknown,5,0,1,Yes
475,Male,33,Never Married,No,Some College,Full Time,No,Other,Moderate,White,$20K-$30K,1,Small City or Town,Refused,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Less Often,4,3,2,Yes
476,Female,58,Married,No,Assoc Degree,Full Time,No,Democrat,Moderate,White,$100K-$150K,2,Rural,Definitely,Yes,No,Yes,Unknown,Unknown,"Yes, > 12 Mo.",Never,Unknown,5,8,1,Yes
477,Male,65,Married,No,Some College,Retired,No,Republican,Consrv,White,$50K-$75K,2,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,4,6,1,Yes
478,Female,55,Separated,No,HS Grad,Part Time,Yes,Republican,Moderate,White,<$10K,1,Suburb,Definitely,No,Yes,No,Unknown,No,Never,Never,Unknown,3,1,0,No
479,Female,43,Married,No,Grad School,Full Time,No,Democrat,Liberal,White,$150K+,2,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Semi-Monthly,8,9,2,Yes
480,Female,56,Married,No,HS Grad,Retired,No,No Preference,Liberal,White,$50K-$75K,2,Small City or Town,Probably,No,Yes,No,Unknown,No,"Yes, < 12 Mo.",Never,Less Often,3,6,2,Yes
481,Male,99,Married,No,Some College,Retired,No,Independent,Moderate,White,$75K-$100K,2,Small City or Town,Definitely,Yes,No,Yes,Higher Speed,No,"Yes, < 12 Mo.",Never,Less Often,4,7,2,Yes
482,Female,98,Widowed,No,Some College,Other,No,Other,Consrv,Black,Refused,2,Small City or Town,Definitely,No,No,Unknown,Unknown,No,"Yes, > 12 Mo.",Never,Unknown,4,0,1,Yes
483,Male,82,Married,No,Grad School,Unemployed,No,Republican,Moderate,White,$150K+,2,Large City,Definitely,Yes,No,Yes,Higher Speed,No,"Yes, > 12 Mo.",Never,Unknown,8,9,1,Yes
484,Female,50,Never Married,No,Some College,Unemployed,Yes,Democrat,Moderate,Black,$20K-$30K,2,Large City,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Less Often,4,3,2,Yes
